Site;VMM;Year;T_min;pH_min;O2_min;O2_sat_min;Con_min;Cl-_min;COD_min;KjN_min;NH4+_min;NO3-_min;NO2-_min;Nt_min;Pt_min;oPO4_min;SM_min;T;pH;O2;O2_sat;Con;Cl-;COD;KjN;NH4+;NO3-;NO2-;Nt;Pt;oPO4;SM;T_max;pH_max;O2_max;O2_sat_max;Con_max;Cl-_max;COD_max;KjN_max;NH4+_max;NO3-_max;NO2-_max;Nt_max;Pt_max;oPO4_max;SM_max;T_av;pH_av;O2_av;O2_sat_av;Con_av;Cl-_av;COD_av;KjN_av;NH4+_av;NO3-_av;NO2-_av;Nt_av;Pt_av;oPO4_av;SM_av
SITE 1;426400;2015;6.1;7.8;7.6;76;692;53;8;0.5;0.04;7.2;0.078;8;0.2;0.12;5.7;6.1;7.8;10.2;82;790;57;8;1;0.04;8.2;0.096;8.8;0.2;0.12;7;15.9;7.9;10.2;87;790;57;22;2;0.34;8.5;0.13;9.7;0.41;0.28;43;11.114;7.829;8.843;81.286;740.714;54.667;13.333;1.583;0.158;7.95;0.099;8.917;0.313;0.175;17.95
SITE 2;424500;2016;5.7;7.5;5;53;498;36;1;0.25;0.25;2.3;0.044;3.2;0.24;0.13;12;6.3;7.7;7.9;63;739;59;2;1.5;1.5;3.7;0.1;4.9;0.24;0.21;12;18.2;7.8;9.9;80;788;74;2;1.5;1.5;5.3;0.24;6.6;0.39;0.27;31;10.44;7.68;7.5;65.4;609.6;51.4;1.4;0.774;0.774;3.86;0.131;4.78;0.308;0.206;20.6
SITE 3;417000;2016;5.1;7.2;6.2;56;329;33;14;1;0.57;4.6;0.069;6.6;0.21;0.11;6.1;12.1;7.2;6.2;56;447;62;18;2;2.5;7.8;0.38;10;0.32;0.15;7.3;20.1;7.5;10.6;92;475;66;65;3.6;3.3;9.2;0.58;12;0.9;0.29;160;12.858;7.3;8.05;75.333;434.75;54.75;25.917;2.125;2.251;6.667;0.257;8.925;0.411;0.185;34.475
SITE 4;437000;2017;7.9;7.7;6.6;67;667;49;20;2.5;2.5;1.7;0.092;6.7;0.57;0.28;14;9.7;7.7;8.6;77;993;69;28;2.5;2.5;5.8;0.15;8.5;0.58;0.35;26;17.3;7.9;9.5;81;1010;79;31;7.5;6.7;5.8;0.16;10;1.1;0.76;26;13.086;7.8;7.729;72.857;949;68.5;25;5.6;5;3.317;0.126;9.067;0.852;0.552;18.833
SITE 5;449200;2015;4.3;7.9;9;92;835;57;10;1;0.1;3.4;0.027;3.7;0.16;0.081;7.4;10.4;7.9;10.7;95;937;78;10;1;0.35;5.7;0.053;6.7;0.19;0.15;8.1;19.1;8.1;12.7;106;940;78;18;1;0.79;5.7;0.13;6.7;0.28;0.19;31;11.75;8;10.617;96.833;896.167;71.333;14;1;0.303;4.717;0.074;5.167;0.237;0.14;15.75
SITE 6;454780;2017;8.1;7;5.5;57;254;34;20;1;0.06;0.57;0.02;1.3;0.1;0.022;4.7;8.9;7;8.8;77;254;34;46;2;0.37;1.1;0.02;2.8;0.3;0.073;44;18.4;7.9;12;103;373;51;46;2;0.48;1.1;0.049;2.8;0.38;0.073;44;13.557;7.471;8.914;84.571;340.714;43.333;29;1.167;0.252;0.812;0.03;1.617;0.202;0.046;16.783
SITE 7;403000;2016;4.2;8;8.4;83;647;37;6;1;0.11;1.7;0.025;1.9;0.1;0.023;7.8;11.7;8;9.9;90;706;42;17;2;0.96;2.3;0.03;3.3;0.12;0.15;13;15.9;8.2;11.9;91;802;59;25;2;0.96;2.9;0.16;3.6;0.36;0.17;49;11.75;8.031;9.708;88.417;716.333;48;16.583;1.083;0.393;2.217;0.058;2.775;0.188;0.099;19.958
SITE 9;429900;2016;5.3;7.8;7;79;547;44;7;1;0.15;3.8;0.07;4.1;0.23;0.18;19;11.9;8.1;9.1;86;901;78;13;1;0.25;6.2;0.18;6.9;0.32;0.23;22;20.5;8.1;11.3;96;906;79;60;2;1.1;6.3;0.27;7.3;0.96;0.31;510;12.008;8;9.383;87;800.333;65.25;21.917;1.167;0.468;5.175;0.163;6.083;0.427;0.228;98
SITE 11;433040;2017;7.1;7.6;2.2;23;406;31;20;1;0.6;0.4;0.029;2.6;0.27;0.11;9.2;10;7.8;8.7;78;547;49;30;1;0.6;4.2;0.11;5;0.32;0.29;9.2;18.2;8.3;11.4;114;691;50;92;8.3;6.9;4.2;0.2;8.8;1.7;1.2;28;13.55;7.817;6.767;63.167;527.667;44;45.5;4.333;3.233;1.413;0.099;5.75;0.667;0.442;18.533
SITE 12;486050;2014;9.9;7.2;6;59;690;140;18;0.5;0.69;0.1;0.044;8.6;0.48;0.19;11;9.9;7.6;6.8;60;907;150;79;15.93;13;0.1;0.044;16;1.6;1.15;21;19.2;7.6;7.1;73;1288;250;79;15.93;13;24;0.356;22;1.6;1.15;21;14.957;7.429;6.557;65.857;1089.857;200;50.5;5.092;5.365;11.733;0.272;16.1;1.158;0.732;15.5
SITE 13;483800;2017;6.8;7.7;7.6;76;1050;51;6;1;0.37;4;0.11;4.7;0.19;0.11;1.5;6.8;7.8;10.5;85;1050;200;14;2;1;6;0.23;7.5;0.19;0.13;1.5;19.7;7.9;10.6;102;1050;200;17;2;1;6.5;0.23;7.6;0.5;0.35;8.5;14.486;7.829;9.214;90.429;771.7142857;88.833;11.333;1.333;0.668;5.6;0.178;6.533;0.288;0.2;5.433
SITE 14;407000;2016;6.5;7.5;6.6;66;307;30;18;2;0.8;3.2;0.061;4.6;0.36;0.11;20;6.6;7.5;9.2;73;563;57;18;2.3;3;4.4;0.14;6.8;0.36;0.21;21;18;7.7;11.2;90;593;67;100;5.1;5.2;6.3;0.33;10;1.6;0.47;340;11.983;7.567;8.583;77.667;472.333;47.333;37.167;2.633;2.367;4.4;0.187;7;0.663;0.238;119.667
SITE 15;401000;2016;1.9;7.5;7.3;74;426;29;10;1;0.1;1.5;0.031;1.8;0.1;0.037;4.7;11.3;8;9.8;89;577;43;16;1;0.1;1.7;0.036;2;0.12;0.14;7;17.3;8.1;12.1;90;664;60;68;2;0.96;3;0.2;3.6;0.36;0.18;52;11.577;7.877;9.5;85.308;591.462;47.75;24.667;1.167;0.26;2.108;0.064;2.608;0.198;0.103;17.292
SITE 16;461100;2016;3;7.1;8.3;85;290;22;16;1;0.19;0.59;0.01;0.88;0.05;0.01;6.9;10.1;7.5;9.6;85;425;34;28;1;0.22;1.2;0.02;1.7;0.11;0.031;6.9;17.4;7.6;12;94;596;35;97;2;0.24;2.2;0.024;3;0.33;0.15;36;12.443;7.443;9.429;87.857;462.571;32.333;37.167;1.167;0.21;1.098;0.019;1.73;0.132;0.044;15.15
SITE 17;417100;2017;5.8;7.1;5.2;55;330;31;12;2;0.38;5.2;0.048;7.2;0.16;0.047;3.9;5.8;7.5;10.4;84;519;60;18;2.3;1.7;6.4;0.097;8.8;0.2;0.13;8.1;17.4;7.6;10.6;91;545;62;46;4.6;5.4;10.1;0.53;13;0.75;0.46;120;11.425;7.4;8.083;73.25;470.333;51.333;20;2.875;2.589;7.633;0.252;10.617;0.358;0.202;17.725
SITE 18;409100;2018;4.8;7.2;2.1;25;368;39;12;1.069444444;1;0.89;0.029;2.5;0.18;0.017;5.1;14;7.5;6.2;60;434;42;20;1.916111111;1.7;1.3;0.077;3.6;0.37;0.023;34;22.5;7.6;10.4;81;561;56;120;3.207777778;8.1;6.9;0.21;18;0.92;0.054;36;16.214;7.471;6.129;61;422.429;43.167;35.833;1.835611111;2.417;2.132;0.113;5.45;0.428;0.029;26.017
SITE 19;444000;2010;3.3;8;8.7;89;629;41;3;0.75;0.05;3.3;0.031;3.556944444;0.131;0.033;7;8.8;8.3;10.9;94;811;62;3;0.75;0.1;4.7;0.031;5.646666667;0.131;0.1;7;16.2;8.3;12.7;101;941;160;18;0.75;0.13;6.1;0.095;7.536111111;0.54;0.24;35;9.317;8.225;11.01;94.9;812.833;76.167;7.5;0.75;0.103;4.717;0.06;5.358361111;0.263;0.127;12.4
SITE 20;449400;2016;9;7.8;8.1;82;810;46;9;1;0.1;3.2;0.037;3.7;0.13;0.021;10;10;7.9;9.3;82;875;58;15;1;0.1;3.5;0.037;3.7;0.13;0.067;10;15.9;8.1;9.9;91;875;58;24;2;0.24;5.9;0.11;5.9;0.27;0.095;51;12.957;7.929;8.9;85.571;851.286;51;15.833;1.167;0.17;4.117;0.064;4.583;0.193;0.062;31.667
SITE 21;479000;2016;9.1;7.7;6.9;74;373;35;13;1;0.41;2.5;0.046;3.5;0.19;0.2;3.9;10.3;7.8;8.3;74;812;87;23;1;0.68;5.2;0.16;5.8;0.46;0.36;14;19.6;8;9.9;99;812;87;35;1;1.3;5.3;0.25;5.8;0.74;0.36;120;15;7.833;8.467;85.333;673.167;62.833;19.5;1;0.635;4.233;0.161;5.067;0.445;0.297;26.95
SITE 22;419600;2016;4.2;6.7;6.5;61;169;18;3;1;0.16;0.56;0.02;1.5;0.1;0.06;6.5;11;6.9;6.8;61;266;34;20;2;0.98;0.92;0.054;2.1;0.1;0.068;11;17.3;7.1;9.9;82;358;49;58;2;0.98;2.6;0.12;3.9;0.54;0.12;69;10.475;6.9;8.367;73.833;255.833;32.182;24.727;1.364;0.527;1.348;0.062;2.164;0.272;0.084;27.045
SITE 23;422000;2016;4.6;6.7;8;76;116;11;15;1;0.16;0.2;0.01;0.61;0.1;0.073;13;4.6;6.7;10.1;76;144;16;17;1;0.4;0.2;0.01;0.78;0.1;0.11;18;15.1;7.2;10.1;83;166;16;81;2;0.4;1.9;0.01;3.2;0.41;0.16;82;10.05;6.917;9.117;80;138.667;12.833;37.167;1.167;0.29;0.71;0.01;1.372;0.272;0.121;36.167
SITE 24;422900;2016;2.9;7.1;1.9;22;365;25;15;1;0.23;1.1;0.034;2.6;0.24;0.12;9.9;4;7.7;8.7;64;720;61;65;1;1.6;4;0.11;5.1;0.34;0.26;27;22.9;8;10.6;96;740;72;66;2;1.6;5.6;0.42;6.8;0.82;0.58;60;11.773;7.691;7.436;66.091;593.091;52.545;34.727;1.545;0.806;3.745;0.168;4.891;0.422;0.219;23.445
SITE 26;448000;2016;3.2;7.7;5.3;50;821;56;8;1;0.16;3.7;0.083;4;0.17;0.13;4.1;9.9;8;9.3;83;890;67;15;1;0.42;4.1;0.083;4.7;0.29;0.21;17;18.4;8.1;11.9;95;958;83;25;2;0.76;5.6;0.32;6.1;0.39;0.31;38;12.167;7.95;8.792;80.333;897.417;67.75;16.417;1.083;0.409;4.467;0.161;5.242;0.287;0.203;16.475
SITE 28;446000;2016;2.9;7.8;5.6;59;636;47;12;1;0.04;2.9;0.047;3.1;0.16;0.12;4.1;10.8;8;9.3;84;778;68;21;1;0.45;2.9;0.1;3.8;0.33;0.27;19;23.4;8.5;13.6;154;974;110;35;2;0.72;5.7;0.24;6.9;0.54;0.37;42;13.433;8.092;10.392;99.667;801;73.091;20.909;1.273;0.354;3.855;0.127;4.636;0.327;0.233;18.064
SITE 29;485000;2016;9.4;7.5;8.1;76;575;29;6;1;0.14;4.5;0.022;4.8;0.13;0.015;4.6;10;7.5;8.5;76;762;42;13;1;0.4;11;0.097;12;0.22;0.1;4.6;17.9;7.7;10.2;98;762;42;25;2;0.4;11;0.11;12;0.3;0.1;23;14.133;7.617;8.883;87.667;669.667;38.167;14;1.333;0.227;6.733;0.069;7.55;0.192;0.054;11.367
SITE 30;413460;2016;4.6;6.8;2.5;19;1006;52;25;1;0.52;0.2;0.01;1.7;0.43;0.16;14;12.4;7.4;5.5;50;734;95;28;2.8;2.5;0.58;0.41;3.8;0.71;0.23;26;22.5;7.8;7.7;63;1006;120;120;5.6;5.1;0.71;0.41;6.3;2.5;0.44;190;13.542;7.127;5.183;48.833;542.417;83.583;42.333;2.867;2.261;0.427;0.075;3.317;0.853;0.263;49.583
SITE 31;406000;2016;6.2;7.2;4.2;43;340;28;21;1;0.29;1.2;0.034;2.6;0.26;0.028;19;6.2;7.6;9.5;75;527;55;21;1;1.1;2.8;0.1;3.7;0.26;0.028;35;20.2;7.7;9.5;81;671;88;41;2;1.3;3.7;0.15;4.2;0.5;0.26;61;12.867;7.517;7.633;70.333;447.333;48;29.333;1.333;0.68;2.4;0.096;3.283;0.43;0.14;39.333
SITE 32;482000;2016;7.8;7.7;8.5;84;523;38;6;1;0.1;3.8;0.033;4;0.17;0.032;6.5;8.5;7.7;9.6;84;687;59;19;1;1.2;4.4;0.073;5.2;0.2;0.16;6.5;17.9;8;10.7;99;687;59;38;1;1.2;5.6;0.1;5.2;0.46;0.16;90;13.186;7.843;9.457;91.857;617.571;46.833;19.333;1;0.362;4.433;0.061;4.767;0.232;0.103;27.25
SITE 33;479500;2016;8.6;7.6;6.6;69;503;29;11;1;0.09;2;0.02;2.3;0.05;0.025;3;9;7.6;7.9;69;580;35;13;1;0.37;3.4;0.054;3.7;0.12;0.088;3;20.4;8;12.1;123;580;35;18;2.1;0.87;3.9;0.076;4.9;0.27;0.19;34;15.233;7.767;8.383;84;539.333;31.333;13.667;1.35;0.325;2.917;0.045;3.683;0.153;0.089;14.317
SITE 34;484300;2016;3;7.9;7.7;87;300;23;7;1;0.1;2.2;0.037;3.4;0.1;0.024;3.4;8.6;8;11;96;726;45;14;1;0.14;9.5;0.12;10;0.1;0.083;5.2;19.5;8.1;12.5;97;734;49;49;3.6;1.3;9.5;0.19;11;0.71;0.16;110;12.05;8.008;10.008;92.583;659.833;42.583;14.75;1.633;0.336;6.85;0.113;8.05;0.243;0.09;17.808
SITE 35;426000;2016;6.2;7.7;8.5;88;560;46;11;1;0.04;1.8;0.052;3.2;0.22;0.061;7;6.2;7.9;11;88;791;65;40;1;0.74;5.4;0.1;5.6;0.54;0.22;140;17;8.1;11.8;96;791;65;40;2;0.74;5.4;0.24;5.6;0.54;0.22;140;11.175;7.9;10.163;91.375;687.375;53.667;26;1.167;0.395;3.7;0.132;4.317;0.345;0.144;42.667
SITE 36;442500;2017;8.6;7.9;6.5;70;596;42;16;1;0.58;3.1;0.074;4.4;0.28;0.13;18;9.9;8;10.1;92;736;51;24;2;0.66;3.1;0.074;4.4;0.44;0.16;56;18.3;8.2;13.2;120;879;59;39;3.1;2.5;4.9;0.3;7.2;0.63;0.4;67;13.7;8.05;9.283;88.833;755.5;52;26.167;2.017;1.26;3.9;0.166;5.567;0.46;0.228;40.333
SITE 38;220100;2016;6.3;7.7;6;61;623;53;12;1;0.23;5;0.099;6.1;0.23;0.11;43;11.1;7.9;8.1;76;626;58;22;1;0.74;6.2;0.14;7.3;0.34;0.22;43;18;8;10;87;725;71;25;2;1.6;6.2;0.33;7.8;0.45;0.22;110;13.633;7.917;8.067;77.5;667;62;20.333;1.5;0.695;5.55;0.187;7.033;0.325;0.177;64.667
SITE 39;388500;2017;3.4;7.5;1.6;16;1.554;58;24;2;1.2;0.2;0.01;3.5;0.36;0.21;1.5;3.4;7.6;9.7;71;716;78;25;2;1.4;3.1;0.077;4.6;0.36;0.23;11;19.3;8.1;9.7;73;1554;160;90;7.8;4.5;3.1;0.087;7.9;3.2;2.1;62;11.333;7.725;5.125;43.75;848.333;100.833;35.75;4.117;2.542;1.008;0.046;5.017;0.943;0.625;18.025
SITE 40;385600;2016;8.4;7.5;2.5;24;590;42;12;1;0.09;0.4;0.027;0.86;0.12;0.075;3;12.1;7.5;2.5;24;672;63;16;5.9;5.3;0.4;0.05;6.3;0.65;0.56;4.7;17.6;8;14.7;140;672;63;20;5.9;5.4;1.3;0.082;6.3;0.65;0.56;11;12.9;7.7;7.46;71.4;635;52.667;16.4;2.8;2.208;0.755;0.06;3.243;0.274;0.248;4.7
SITE 41;382800;2016;8.2;8;7;80;614;63;8;1;0.07;0.75;0.023;1.2;0.17;0.14;3;13;8.2;9.2;90;799;100;8;1;0.16;4.2;0.054;4.4;0.27;0.24;5.4;21.6;8.2;12.3;122;885;120;27;1;0.46;4.2;0.065;4.4;0.39;0.28;16;15.1;8.083;9.4;94;716.333;80.833;15.167;1;0.165;2.308;0.045;2.55;0.285;0.215;7.117
SITE 42;383500;2017;8.1;7.8;8.5;87;1;55;15;1;0.36;1.3;0.1;2.6;0.16;0.12;3.3;11.5;7.9;9.6;87;659;71;15;1;0.36;2.2;0.2;3;0.53;0.48;3.3;18.8;8;10.9;93;1000;160;23;2.1;2;2.9;0.23;5.2;0.66;0.56;13;13.786;7.9;9.357;89.571;705.714;85.833;18.167;1.517;0.88;2.2;0.167;3.45;0.342;0.265;9.367
