date;site;fish;confactor;weight;length;Sex ;# dorsal spines;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
30/01/2018;1;1;26.34;177;49;F;3;0;6;0;0;0;0;0;0;0;0
25/10/2018;1;2;32.34;183;49;F;3;0;10;0;0;0;0;0;0;0;0
31/10/2018;1;3;30.16;166;47;M;3;0;9;0;1;0;0;0;0;0;0
12/11/2018;1;4;12.66;100;40;M;3;0;13;0;0;0;0;0;0;0;0
19/11/2018;1;5;11.17;69;35;F;3;4;44;0;0;0;0;0;0;0;0
15/06/2017;1;6;-7.98;61;37;M;3;0;410;0;0;1;0;0;0;0;0
15/06/2017;1;7;1.45;36;30;F;3;5;150;4;0;0;0;0;0;0;0
15/06/2017;1;8;-2.9;72;38;M;3;0;544;0;0;0;0;0;0;0;0
19/11/2018;1;9;12;55;32;F;3;8;71;0;0;0;0;0;0;0;0
15/02/2017;1;12;0.29;170;45;F;4;0;3;0;0;0;0;0;0;0;0
20/02/2017;1;13;70.45;289;58;F;3;0;18;0;0;0;0;0;0;0;0
16/02/2017;1;14;74.06;300;59;F;3;0;20;0;0;0;0;0;0;0;0
22/01/2020;1;15;-34.34;53;40;M;3;0;5;0;0;0;0;0;0;0;0
22/01/2020;1;16;-12.21;131;48;M;3;0;22;0;0;0;0;0;0;0;0
22/01/2020;1;18;-29.86;151;53;M;3;0;1;0;0;0;0;0;0;0;0
22/01/2020;1;20;-20.86;160;53;F;3;0;5;0;0;0;0;0;0;0;0
13/11/2018;2;1;1.68;109;43;M;3;0;3;0;0;0;0;0;0;0;0
25/10/2018;2;2;7.66;95;40;F;3;0;8;0;1;0;0;0;0;0;0
13/11/2018;2;3;3.02;72;37;M;3;0;0;0;0;0;0;0;0;4;0
13/06/2017;2;5;0.16;94;41;M;3;1;0;0;0;0;0;0;0;0;0
13/06/2017;2;6;-5.32;102;43;F;3;0;32;0;0;0;0;0;0;0;0
10/04/2018;2;7;3.71;67;36;M;3;0;35;0;0;0;0;0;0;0;0
16/06/2017;2;8;11.38;64;34;M;3;0;40;0;0;0;0;0;0;0;0
29/10/2018;2;9;14.1;89;38;M;3;0;6;0;0;0;0;0;0;0;0
10/01/2017;2;11;12.16;106;41;M;3;0;0;0;0;0;0;4;0;0;0
21/01/2020;2;12;-28.83;29;35;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;2;14;-26.62;26;34;F;3;1;1;0;0;0;0;0;0;0;0
21/01/2020;2;15;-26;17;32;F;3;0;4;0;0;0;0;0;0;0;0
21/01/2020;2;17;-12.5;88;42;M;3;1;9;0;0;0;0;0;0;2;0
21/01/2020;2;18;-21.29;42;36;M;3;1;51;0;0;0;0;0;0;0;0
21/01/2020;2;19;-3.02;78;39;M;3;3;10;0;0;0;0;1;0;0;0
21/01/2020;2;20;-34.9;40;38;F;3;1;7;0;0;0;0;0;0;0;0
16/10/2018;3;2;23.16;159;47;M;4;0;6;0;0;0;0;0;0;0;0
16/10/2018;3;3;14.16;150;47;F;3;0;1;0;0;0;0;0;0;0;0
25/10/2018;3;4;28.16;164;47;F;4;0;5;0;0;0;0;0;0;0;0
6/11/2018;3;5;21.73;136;44;M;3;0;4;0;0;0;0;0;0;0;0
16/02/2017;3;11;26.84;185;50;M;3;0;4;0;0;0;0;0;0;0;0
16/02/2017;3;12;21.73;136;44;F;3;0;1;0;0;0;0;0;0;0;0
15/02/2017;3;14;89.79;233;48;F;3;0;120;0;0;0;0;0;0;0;0
17/01/2020;3;15;-19.55;109;46;F;3;0;1;0;0;0;0;0;0;0;0
17/01/2020;3;16;-53.16;105;50;F;3;0;3;0;0;0;0;0;0;0;0
17/01/2020;3;17;-4.55;124;46;F;3;0;3;0;0;0;0;0;0;0;0
17/01/2020;3;18;-7.86;173;53;M;3;0;1;0;1;0;0;0;0;0;0
17/01/2020;3;20;1.34;152;49;F;3;1;3;0;0;0;0;0;0;0;0
5/12/2018;4;1;6.37;45;31;M;3;0;47;0;0;0;0;0;0;0;0
5/12/2018;4;2;-4.29;59;36;M;3;0;22;0;0;0;0;0;0;0;0
13/12/2018;4;3;5.21;36;29;M;3;0;25;0;0;0;0;0;0;0;0
13/12/2018;4;4;1.37;40;31;M;3;0;17;0;0;0;0;0;0;0;0
13/12/2018;4;5;0.73;18;24;M;3;0;151;0;0;0;0;0;0;0;0
13/12/2018;4;6;5.45;40;30;F;3;0;31;0;0;0;0;0;0;0;0
13/12/2018;4;7;4.33;52;33;M;3;0;52;0;0;0;0;0;0;0;0
5/12/2018;4;8;3.43;25;26;F;3;0;44;0;0;0;0;0;0;0;0
5/12/2018;4;9;-0.79;30;29;M;3;0;81;0;0;0;0;0;0;0;0
5/12/2018;4;10;-0.79;30;29;M;3;0;92;0;0;0;0;0;0;0;0
20/02/2017;4;11;4.38;57;34;M;3;0;106;0;0;0;0;0;0;0;0
16/02/2017;4;12;8.37;47;31;F;3;0;77;0;0;0;0;0;0;0;0
4/03/2019;4;15;9.14;190;53;M;3;0;10;0;0;0;0;0;0;0;0
4/03/2019;4;16;-48.58;155;56;F;3;1;5;0;0;0;0;0;0;0;0
4/03/2019;4;17;-22.98;46;37;M;3;0;58;0;0;0;0;0;0;0;0
4/03/2019;4;18;-9.63;29;31;F;3;0;48;0;0;0;0;0;0;0;0
4/03/2019;4;19;-10.37;17;28;M;3;0;104;0;0;0;0;0;0;0;0
4/03/2019;4;20;-7.37;20;28;F;3;0;15;0;0;0;0;0;0;0;0
18/12/2018;5;1;6.16;100;41;F;3;0;39;0;0;0;0;0;0;0;0
18/12/2018;5;2;3.43;25;26;M;3;0;17;0;0;0;0;0;0;0;0
18/12/2018;5;3;0.45;35;30;M;3;3;18;0;1;0;0;0;0;0;0
18/12/2018;5;5;1.38;54;34;M;3;0;14;0;0;0;0;0;0;0;0
18/12/2018;5;6;-3;40;32;M;3;1;23;0;0;0;0;0;0;0;0
18/12/2018;5;10;0.63;28;28;M;3;0;12;0;0;0;0;0;0;0;0
16/02/2017;5;11;-7.41;192;51;M;3;0;7;0;0;0;0;0;0;0;0
16/02/2017;5;12;-44.9;30;38;M;3;0;51;0;0;0;0;0;0;0;0
20/02/2017;5;13;2.71;27;27;M;3;0;35;0;0;0;0;0;0;0;0
17/01/2020;5;15;-10.79;20;29;F;3;0;15;0;0;0;0;0;0;0;0
17/01/2020;5;16;76.97;273;55;F;3;0;9;0;0;0;0;0;0;0;0
20/01/2020;5;17;-9.76;4;19;M;3;0;1;0;0;1;0;0;0;0;0
21/01/2020;5;19;-0.71;15;23;F;3;0;46;0;0;0;0;0;0;0;0
22/10/2018;6;1;-3.29;60;36;M;4;0;4;0;0;0;0;0;0;0;0
24/02/2017;6;2;-8.98;60;37;F;3;1;20;0;0;1;0;0;0;0;0
20/11/2018;6;3;-0.79;30;29;F;3;0;1;0;0;0;0;0;0;0;0
23/02/2017;6;4;-0.98;68;37;F;3;0;12;0;0;0;0;0;0;0;0
8/11/2018;6;7;7.17;65;35;M;3;0;4;0;0;1;0;0;0;0;0
8/11/2018;6;8;5.38;58;34;M;3;0;10;0;0;0;0;0;0;0;0
24/02/2017;6;9;-4.84;89;41;F;3;1;4;0;0;0;0;0;0;0;0
24/02/2017;6;10;-7.02;74;39;F;3;0;396;0;0;0;0;0;0;0;0
10/02/2017;6;12;-1.29;62;36;M;3;0;53;0;0;0;0;0;0;0;0
14/02/2017;6;13;7.21;38;29;M;3;0;2;0;0;0;0;0;0;0;0
14/02/2017;6;14;24.98;106;39;M;3;0;43;0;0;0;0;0;0;0;0
25/02/2019;6;15;4.16;98;41;M;3;0;17;0;0;0;0;0;0;0;0
25/02/2019;6;17;-5.29;58;36;F;3;0;133;0;0;0;0;0;0;0;0
25/02/2019;6;18;-8.67;39;33;M;3;0;68;0;0;0;0;0;0;0;0
25/02/2019;6;19;-9.9;65;38;F;3;0;25;0;0;0;0;0;0;0;0
7/03/2019;6;20;-11.29;13;27;M;3;0;5;0;0;0;0;0;0;0;0
7/03/2019;6;21;-1.27;16;24;M;3;2;104;0;1;0;0;0;0;2;0
6/11/2018;7;1;-5.5;95;42;F;3;0;23;0;0;0;0;0;0;0;0
6/11/2018;7;3;12.02;81;37;M;3;0;2;0;0;0;0;0;0;0;0
10/12/2018;7;5;5.45;40;30;M;3;0;10;0;0;0;0;0;0;0;0
11/12/2018;7;6;2.71;27;27;M;3;2;59;0;0;0;0;0;0;0;0
11/12/2018;7;8;5.37;44;31;F;3;0;4;0;0;0;0;0;0;0;0
11/12/2018;7;10;3.71;28;27;F;3;0;4;0;0;0;0;0;0;0;0
22/01/2020;7;12;-13.63;25;31;M;3;0;24;0;0;0;0;0;0;0;0
22/01/2020;7;13;-16.9;58;38;M;3;6;60;0;0;0;0;0;0;0;0
22/01/2020;7;14;-8.29;16;27;M;3;1;6;0;0;0;0;0;0;0;0
22/01/2020;7;15;-0.27;17;24;M;3;3;8;0;0;0;0;0;0;0;0
22/01/2020;7;16;3.29;19;23;F;3;7;96;0;0;0;0;0;0;0;0
22/01/2020;7;17;29.14;210;53;F;3;0;3;0;0;0;0;0;0;0;0
22/01/2020;7;18;40.55;229;54;M;3;0;7;0;0;0;0;0;0;0;0
22/01/2020;7;19;20.14;201;53;F;3;4;12;0;0;0;0;0;0;0;0
15/11/2018;9;2;29.66;117;40;F;4;0;3;0;0;0;0;0;0;0;0
15/11/2018;9;3;11.98;93;39;F;3;0;23;0;1;0;0;0;0;0;0
8/03/2017;9;4;43.16;179;47;F;3;2;0;0;0;0;0;0;0;1;0
15/11/2018;9;5;21.02;90;37;F;3;1;18;0;0;0;0;0;0;0;0
8/03/2017;9;8;4.16;98;41;F;3;1;20;0;0;0;0;0;0;0;0
8/03/2017;9;9;21.98;103;39;F;3;7;35;0;0;3;0;0;0;0;1
6/11/2018;9;10;1.1;76;38;M;3;0;7;0;0;1;0;0;0;0;1
8/11/2018;11;2;-12.5;88;42;M;3;1;2;0;0;0;0;0;0;0;0
29/11/2018;11;3;1.16;95;41;F;3;1;1;0;0;0;0;0;0;0;0
25/10/2018;11;4;4.16;98;41;M;3;0;29;0;0;0;0;0;0;0;0
29/11/2018;11;5;-14.34;73;40;M;3;3;7;0;0;0;0;0;0;0;0
29/11/2018;11;6;-1.29;62;36;M;3;1;15;0;0;0;0;0;0;0;0
30/10/2018;11;7;-1.27;113;44;M;3;0;8;0;0;0;0;0;0;0;0
29/11/2018;11;8;-3.29;60;36;F;3;0;60;0;0;0;0;0;0;0;0
29/11/2018;11;9;4.02;73;37;F;3;6;44;0;0;1;0;0;0;0;0
29/11/2018;11;10;13.45;142;46;M;3;0;17;0;0;0;0;0;0;0;0
12/01/2017;11;11;8.73;123;44;F;3;3;0;0;0;0;0;0;0;0;0
9/02/2017;11;12;14.38;67;34;F;3;10;69;0;0;0;0;0;0;0;0
13/02/2017;11;14;22.66;110;40;M;3;2;3;0;0;0;0;0;0;0;0
25/02/2019;11;15;-19.84;74;41;M;3;16;21;0;0;0;0;0;0;0;0
26/02/2019;11;16;-22.98;46;37;F;3;8;5;0;0;0;0;0;0;0;0
26/02/2019;11;17;-9.02;72;39;F;3;15;138;0;0;0;0;0;0;0;0
26/02/2019;11;18;-18.5;82;42;M;3;5;11;0;0;0;0;0;0;0;0
26/02/2019;11;19;-12.84;81;41;F;3;5;11;0;0;0;0;0;0;0;0
26/02/2019;11;20;-12.83;45;35;F;3;0;63;0;0;0;0;0;0;0;0
17/01/2020;11;21;-6.5;94;42;M;3;8;53;0;0;0;0;0;0;0;0
18/10/2018;12;1;-2.62;50;34;M;3;2;6;0;0;0;0;0;0;0;0
11/12/2018;12;2;0.77;20;25;F;3;9;90;0;0;0;0;0;0;0;0
11/12/2018;12;3;-2.37;25;28;M;3;5;477;0;0;0;0;0;0;0;0
11/12/2018;12;4;-18.83;39;35;M;3;26;346;0;0;0;0;0;0;0;0
11/12/2018;12;5;-4.57;17;26;M;3;8;15;0;0;0;0;0;0;0;0
30/10/2018;12;6;-3.29;60;36;M;3;1;833;0;0;0;0;0;0;0;0
11/12/2018;12;10;7.33;55;33;M;3;13;161;0;0;0;0;0;0;0;0
11/01/2017;12;11;2.37;41;31;M;3;9;0;0;0;0;0;0;0;0;0
18/03/2019;12;12;-30.36;91;45;F;3;16;154;0;0;0;0;0;0;0;0
19/03/2019;12;15;-12.83;45;35;F;3;0;723;0;0;0;0;0;0;0;0
25/03/2019;12;17;-18.62;34;34;M;3;23;66;0;0;0;0;0;0;0;0
6/12/2018;13;2;2.45;37;30;M;3;0;6;0;0;0;0;0;0;1;0
31/10/2018;13;3;-0.5;100;42;M;3;0;1;0;0;0;0;0;0;0;0
6/12/2018;13;5;9.71;73;36;M;3;1;13;0;0;0;0;0;0;0;0
6/12/2018;13;10;9.21;40;29;M;3;0;21;0;0;0;0;0;0;0;0
11/03/2019;13;13;-5.27;109;44;M;3;3;52;0;0;0;0;0;0;0;0
11/03/2019;13;14;8.68;116;43;M;3;3;7;0;0;1;0;0;0;0;0
11/03/2019;13;16;5.38;58;34;F;3;2;29;0;0;0;0;0;0;1;0
19/03/2019;13;17;8.68;116;43;F;3;0;31;0;0;0;0;0;0;0;0
19/03/2019;13;18;-17.5;83;42;M;3;0;0;1;0;0;0;0;0;1;0
19/03/2019;13;19;-30.32;77;43;F;3;0;5;0;0;0;0;0;0;0;0
21/01/2020;13;20;-4.34;83;40;F;3;1;3;0;0;0;0;0;0;0;0
7/11/2018;14;1;-0.9;74;38;M;3;0;1;0;0;0;0;0;0;0;0
3/12/2018;14;3;3.38;56;34;M;3;2;51;0;0;0;0;0;0;0;0
3/12/2018;14;4;5.71;69;36;F;3;0;0;0;0;0;0;0;0;2;0
3/12/2018;14;6;1.38;54;34;M;3;0;6;0;0;0;0;0;0;1;0
12/01/2017;14;11;14.17;72;35;M;3;0;13;0;0;0;0;0;0;2;0
11/03/2019;14;12;-21.5;79;42;M;3;1;6;0;0;0;0;0;0;0;0
25/03/2019;14;17;45.62;307;64;F;3;0;9;0;0;0;0;0;0;2;0
25/03/2019;14;18;43.14;224;53;M;3;3;144;0;0;0;0;0;0;4;0
25/03/2019;14;19;-4.55;30;30;M;3;1;16;0;0;0;0;0;0;0;0
25/03/2019;14;20;-1.37;26;28;M;3;0;146;0;1;0;0;0;0;0;0
6/11/2018;15;1;2.17;60;35;M;3;0;2;0;0;0;0;0;0;0;0
8/11/2018;15;4;-6.27;108;44;F;3;1;0;0;0;0;0;0;0;0;0
22/11/2018;15;5;5.16;99;41;M;3;2;2;0;0;0;0;0;0;0;0
22/11/2018;15;7;-1.85;12;21;M;3;0;1;0;0;0;0;0;0;0;0
22/11/2018;15;8;3.21;34;29;F;3;0;5;0;0;0;0;0;0;0;0
29/11/2018;15;9;-1.83;56;35;F;3;0;22;0;0;0;0;0;0;0;0
16/02/2017;15;11;8.73;26;24;F;3;1;0;0;0;0;0;0;0;0;0
16/02/2017;15;12;3.98;85;39;M;3;0;16;0;0;0;0;0;0;0;0
16/02/2017;15;13;8.02;77;37;F;3;0;1;0;0;0;0;0;0;0;0
20/01/2020;15;15;-8.98;60;37;F;3;2;10;0;0;0;0;0;0;0;0
21/01/2020;15;16;-18.83;39;35;M;3;0;1;0;0;0;0;0;0;0;0
19/12/2018;16;1;61.68;169;43;M;3;0;2;0;0;0;0;0;0;1;0
7/11/2018;16;5;0.17;58;35;F;3;0;2;0;0;0;0;1;0;0;0
8/11/2018;16;6;1.37;40;31;F;3;0;0;0;1;0;0;2;0;0;0
19/12/2018;16;8;12.98;94;39;M;3;0;6;0;0;0;0;0;0;0;0
19/12/2018;16;9;2.33;50;33;M;3;0;2;0;0;0;0;0;0;1;0
19/12/2018;16;10;21.16;157;47;M;3;0;1;0;0;0;0;0;0;0;0
16/02/2017;16;13;-2.34;85;40;F;3;0;36;0;0;0;0;0;0;0;0
15/02/2017;16;14;30.71;94;36;M;3;1;12;0;0;0;0;0;0;0;0
7/03/2019;16;15;-107.24;126;60;F;3;0;28;0;0;1;0;0;0;0;0
7/03/2019;16;18;-39.29;24;36;M;3;0;16;0;0;0;0;0;0;0;0
7/03/2019;16;19;-44.02;37;39;F;3;0;24;0;0;0;0;0;0;0;0
17/01/2020;16;21;-8.36;113;45;F;3;0;15;0;1;0;0;0;0;0;0
17/01/2020;16;22;-35.46;205;61;F;3;0;3;0;3;0;0;0;0;0;0
13/11/2018;17;1;11.1;86;38;F;3;0;45;0;0;0;0;0;0;0;0
30/10/2018;17;2;34.5;135;42;M;3;0;9;0;0;0;0;0;0;0;0
13/11/2018;17;3;15.66;103;40;M;3;0;8;0;0;0;0;0;0;0;0
21/02/2017;17;4;11.38;64;34;F;3;15;88;0;0;0;0;0;0;0;0
23/02/2017;17;5;4.38;57;34;F;3;0;3;0;0;0;0;0;0;0;0
13/11/2018;17;6;4.29;20;23;M;3;0;15;0;0;0;0;0;0;0;0
18/10/2018;17;7;15.16;109;41;M;3;0;6;0;0;0;0;0;0;0;0
21/02/2017;17;9;10.66;98;40;F;3;0;32;0;0;0;0;0;0;0;0
24/02/2017;17;10;2.38;55;34;F;4;0;328;0;0;0;0;0;0;0;0
11/01/2017;17;11;18.98;100;39;F;4;1;0;0;0;0;0;0;0;0;0
15/02/2017;17;12;42.5;143;42;M;3;9;3;0;0;0;0;0;0;0;0
15/02/2017;17;13;-48.16;110;50;F;3;8;58;0;0;0;0;0;0;0;0
15/02/2017;17;14;22.1;97;38;F;3;1;53;0;0;0;0;0;0;0;0
21/03/2019;17;15;-31.21;112;48;M;3;0;3;0;0;0;0;0;0;0;0
21/03/2019;17;17;-26.32;81;43;F;3;4;4;0;0;0;0;0;0;0;0
21/03/2019;17;18;-47.32;60;43;M;3;1;0;0;0;0;0;0;0;0;0
25/03/2019;17;19;-32.5;68;42;F;3;0;16;0;0;0;0;0;0;0;0
25/03/2019;17;20;-79.28;94;52;M;3;0;44;0;0;0;0;0;0;0;0
27/11/2018;18;1;3.98;85;39;M;3;0;2;0;0;0;0;0;0;11;0
8/11/2018;18;2;8.02;77;37;M;3;0;9;0;0;0;0;0;0;1;0
27/11/2018;18;3;-7.9;67;38;F;3;0;11;0;0;0;0;0;0;0;0
27/11/2018;18;5;15.37;54;31;M;3;0;125;0;0;0;0;0;0;9;0
27/11/2018;18;6;20.17;78;35;M;3;0;91;0;0;0;0;0;0;0;0
8/11/2018;18;7;19.38;72;34;M;3;0;1;0;0;0;1;0;0;0;0
15/02/2017;18;12;49.15;63;21;M;3;0;21;0;0;0;0;0;0;0;0
15/02/2017;18;13;16.37;55;31;F;3;0;168;0;0;0;0;0;0;0;0
4/03/2019;18;16;-9.84;126;47;M;3;0;1;0;0;0;0;0;0;0;0
4/03/2019;18;17;-53.7;112;51;M;3;0;1;0;0;0;0;0;0;0;0
4/03/2019;18;18;-14.62;38;34;M;3;1;2;0;0;0;0;0;0;5;0
4/03/2019;18;19;-21;22;32;F;3;0;6;0;0;0;0;0;0;0;0
4/03/2019;18;20;-28.83;29;35;M;3;0;30;0;0;0;0;0;0;0;0
15/11/2018;19;1;-2.29;61;36;F;3;1;9;0;0;0;0;0;0;0;0
21/02/2017;19;2;-3.02;78;39;M;3;0;2;0;0;0;0;0;0;0;0
24/02/2017;19;3;3.21;34;29;F;3;1;2;0;0;0;0;0;0;0;0
21/02/2017;19;4;1.45;36;30;F;3;4;60;0;0;0;0;0;0;0;0
23/02/2017;19;6;0.71;25;27;F;3;0;45;0;0;0;0;0;0;0;0
24/02/2017;19;7;2.77;22;25;F;3;4;14;0;0;0;0;0;0;0;0
20/11/2018;19;10;-0.79;30;29;F;3;3;44;0;0;0;0;0;0;0;0
4/01/2017;19;11;33.5;134;42;F;3;2;0;0;0;0;0;0;0;0;0
9/02/2017;19;12;49.68;157;43;M;4;1;3;0;0;0;0;0;0;0;0
9/02/2017;19;13;-34.29;29;36;F;3;1;1;0;0;0;0;0;0;0;0
21/01/2020;19;14;-10.58;193;56;F;3;4;1;0;0;0;0;0;0;0;0
21/01/2020;19;16;-85.58;118;56;F;4;2;0;0;0;0;0;0;0;0;0
21/01/2020;19;18;-14.67;33;33;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;19;19;-49.55;79;46;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;19;20;11.46;266;63;F;3;1;0;0;0;0;0;0;0;0;0
13/12/2018;20;5;-7.37;20;28;F;3;1;6;0;0;0;0;0;0;0;0
12/12/2018;20;6;1;44;32;M;3;5;27;0;0;0;0;0;0;0;0
12/12/2018;20;8;-1.57;20;26;M;3;0;11;0;0;0;0;0;0;0;0
17/12/2018;20;9;-2.71;13;23;F;3;8;3;0;0;0;0;0;0;0;0
13/12/2018;20;10;2.63;30;28;F;3;5;6;0;0;0;0;0;0;0;0
17/05/2018;21;2;19.68;127;43;F;3;0;22;2;0;0;0;0;0;0;0
31/10/2018;21;3;29.5;130;42;M;3;0;6;0;0;0;0;0;0;0;0
4/12/2018;21;4;6.33;54;33;F;3;0;6;0;0;0;0;0;0;0;0
6/12/2018;21;5;1.77;21;25;M;3;2;42;0;0;0;0;0;0;0;0
18/10/2018;21;6;18.68;126;43;M;4;0;25;0;0;0;0;0;0;0;0
4/12/2018;21;7;6.17;64;35;F;3;3;61;0;0;0;0;0;0;0;0
12/04/2018;21;9;5.33;53;33;F;3;0;14;4;0;0;0;0;0;0;0
6/12/2018;21;10;6.44;21;22;M;3;10;39;0;0;0;0;0;0;4;0
10/01/2017;21;11;6.98;88;39;M;3;0;0;0;0;0;0;1;0;0;0
9/02/2017;21;12;31.1;106;38;F;3;9;28;0;0;0;0;0;0;0;0
9/02/2017;21;13;-27.36;94;45;M;3;4;16;0;0;0;0;0;0;0;0
29/03/2019;21;14;-31.29;32;36;M;3;0;3;3;0;0;0;0;0;0;0
