site,longitude,latitude,water_body,place,VMM_site,Prati_year,Prati,BBI_year,BBI,parasitology,date,time_hours,time_minutes,summer_time,time,temperature,CHL1,CHL2,CHL3,CHL,PC1,PC2,PC3,PC,transparency,conductivity,border,slope_border,hiding_places,gras,netels,pool_riffle,meander,sand,stones,mud,slib,other,water_plants,environment_right,environment_left,Gaac,Pupu,Baba,Pspa,Gogo,Cagi,Legi,Rham,Ruru,Umpy,Blbj,Lele,Sqce,Pefl,Scer,Cope,Caau,Satr,nr_species,traject,Gaac,Pupu,Baba,Pspa,Gogo,Cagi,Legi,Rham,Ruru,Umpy,Blbj,Lele,Sqce,Pefl,Scer,Cope,Caau,Satr,backswimmers,Gaac1,Gaac2,Gaac3,Gaac4,Gaac5,Gaac6,Gaac7,Gaac8,Gaac9,Gaac10,Gaac11,Gaac12,Gaac13
1,4.82341,50.8251,Velpe,Vertrijk,426400,2015,1.5,2015,6,1,18oct,13,0,60,720,12.3,142.4,154.4,133.9,143.5666667,0.747,0.699,0.688,0.711333333,30,824,natural,steep,1,0,0,1,1,0,1,1,1,0,0,wood,wood,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,100,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4.99015,50.87593,Velpe,Hoeleden,424500,2016,3.04,2014,7,1,18oct,15,30,60,870,12.1,81.58,79.86,81.07,80.83666667,0.766,0.766,0.737,0.756333333,22,784,natural,steep,1,1,0,0,0,0,0,0,1,0,0,trees,trees,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5.05442,50.97696,Begijnenbeek,Diest,417000,2016,1.91,2004,6,1,18oct,16,20,60,920,12.1,62.36,77.37,66.96,68.89666667,0.728,0.686,0.692,0.702,28,470,natural,steep,1,1,1,0,1,0,0,0,1,0,1,meadow,meadow,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,50,13,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,2,1,0,0,0,0,0,0,0,0,0,0
4,5.17696,50.76041,Cicindria,Muizen,437230,2006,2.55,2005,2,1,19oct,14,15,60,795,12.1,38.41,35.82,35.01,36.41333333,0.519,0.509,0.497,0.503,23,1036,natural,steep,1,1,0,1,1,0,0,1,1,0,1,built_up_area,built_up_area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5.29592,50.80609,Herk,Hoepertingen,449200,2015,0.42,2014,7,1,19oct,15,15,60,855,11.4,205.2,194.2,206.8,202.0666667,1.336,1.361,1.289,1.328666667,16,954,artificial,steep,1,1,1,0,1,0,1,1,0,0,0,built_up_area,built_up_area,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5.23405,50.965,Steenlaak,Tiewinkel,454780,2013,1.46,2012,7,1,20oct,12,30,60,690,12.3,107,105.9,105.9,106.2666667,0.791,0.81,0.827,0.8185,26,373,natural,steep,1,1,0,0,0,0,0,1,1,0,1,trees,meadow,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5.50051,50.84131,Demer,Hoeselt,403000,2016,0.91,2013,8,1,20oct,16,0,60,900,11.7,307.5,321.9,315.1,314.8333333,1.539,1.639,1.548,1.575333333,23,734,natural,steep,1,0,1,0,0,1,1,0,1,0,1,wood,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4.91916,50.78925,Grote_Gete,Tienen,441000,2016,0.79,2014,6,0,24oct,13,0,60,720,10.3,54.58,67.07,58.17,59.94,0.546,0.456,0.461,0.487666667,43,856,natural,steep,1,1,0,0,1,1,0,1,1,0,0.5,field,field,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5.10884,50.85516,Kleine_Gete,Terweiden,429900,2016,1.06,2015,6,1,24oct,14,50,60,830,10.3,52.42,50.8,46.45,49.89,1.024,0.938,0.943,0.968333333,29,977,natural,steep,1,1,0,0,1,0,0,0,1,0,0,meadow,meadow,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5.18166,50.84503,Mielensbeek,Metsterenmolen,437800,2016,5.19,NA,NA,0,24oct,16,0,60,900,11.1,71.93,63.53,65.22,66.89333333,0.815,0.783,0.771,0.789666667,26,809,artificial,steep,0,0,0,0,0,0,0,1,0,0,0.5,built_up_area,built_up_area,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
11,5.12263,50.84261,Sint_Odulphusbeek,Het_Vinne,433040,2013,3.25,2010,6,1,24oct,16,45,60,945,10.8,72.55,68.67,61.49,67.57,0.669,0.621,0.627,0.639,39,974,artificial,steep,1,0,0,0,0,0,0,0,0,1,0,meadow,meadow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4.66841,50.82443,Vaalbeek,Vaalbeek,485900,2014,2.66,2014,7,1,26oct,13,15,60,735,11.7,46.8,35.37,38.68,40.28333333,0.547,0.541,0.549,0.545666667,27,677,natural,flat,1,1,0,1,1,0,0,0,1,0,1,wood,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4.63391,50.81645,Ijse,Neerijse,483800,2013,1.01,2013,8,1,26oct,14,15,60,795,11.4,109.5,112.1,116.5,112.7,0.808,0.763,0.751,0.774,28,884,natural,steep,1,0,1,0,0,0,0,0,1,0,0.5,meadow,trees,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,100,21,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,1,1,0,0,0,0,0,0,0,0,0,0
14,4.83758,50.9329,Winge,Sint-Pieters-Rode,407000,2016,1.71,2014,6,1,26oct,15,30,60,870,10.6,126.1,128.7,132.9,129.2333333,1.733,1.556,1.54,1.609666667,16,562,natural,steep,1,1,1,0,0,1,0,0,0,0,1,wood,meadow,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,5.48816,50.89581,Demer,Heesveld,40100,2016,1.21,2013,9,1,27oct,13,30,60,750,11.3,162.2,150.6,183.5,165.4333333,1.412,1.435,1.427,1.424666667,28,614,artificial,steep,1,0,1,1,0,0,1,0,0,0,1,built_up_area,built_up_area,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5.54998,50.89318,Munsterbeek,Munsterbilzen,461100,2016,0.97,2014,7,1,27oct,15,0,60,840,12.1,142.2,145.4,150.7,146.1,1.558,1.646,1.552,1.585333333,23,485,natural,steep,1,1,1,1,1,1,1,0,0,0,0,meadow,meadow,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,4.99867,50.94403,Begijnenbeek,Bekkevoort,417100,2015,2.24,2011,4,1,28oct,10,45,60,585,11.3,121.9,110.8,120.2,117.6333333,1.02,0.956,0.954,0.976666667,25,508,natural,flat,1,0,0,1,1,0,0,0,1,0,0,wood,wood,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
18,4.88848,50.98115,Grote_Motte,Rillaar,409100,2011,2.59,2007,6,1,28oct,12,0,60,660,12,116.7,99.64,108.2,108.18,1.138,1.102,1.08,1.091,23,448,natural,steep,1,1,1,0,1,1,0,0,0,0,1,meadow,meadow,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,5.0831,50.7402,Dormaalbeek,Landen,444000,2010,0.44,2010,5,1,31oct,10,30,0,630,11.1,25.9,25.24,24.61,25.25,0.381,0.434,0.385,0.4,39,922,natural,flat,1,0,1,1,1,0,1,0,1,0,0.5,trees,trees,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,5.2725,50.7484,Grondelingenbeek,Mechelen-Bovelingen,451980,2001,1.38,2005,5,1,31oct,12,15,0,735,9.9,48.11,45.45,44.16,45.90666667,0.774,0.692,0.724,0.73,17,864,natural,steep,1,0,0,0,1,0,0,1,1,0,1,wood,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,4.6097,50.8571,Voer,Bertem,479000,2016,1.2,2014,7,1,31oct,14,0,0,840,12.5,67.02,66.75,69.91,67.89333333,0.727,0.711,0.698,0.7045,37,903,artificial,steep,1,1,1,1,0,0,1,0,0,0,0.5,meadow,meadow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,5.19202,51.02873,Zwarte_Beek,Paal,419600,2016,2.11,2013,8,1,1no,11,0,0,660,10.5,146.3,141.9,141,143.0666667,2.324,2.231,2.164,2.239666667,7,323,artificial,steep,1,1,1,0,0,0,0,0,1,0,1,meadow,meadow,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5.24168,51.06001,Kleine_Beek,Beringen,422000,2016,1.54,2000,7,1,1no,12,30,0,750,11.3,161.4,161.3,159.7,160.8,3.96,3.993,3.979,3.986,11,171.6,natural,steep,1,1,1,0,0,0,0,1,0,0,0.5,meadow,meadow,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,5.09051,50.96268,Velpe,Zelk,422900,2016,3.04,2014,7,1,1no,15,0,0,900,11.5,162.4,170.3,167.3,166.6666667,2.056,2.015,2.024,2.0195,21,794,natural,steep,0,1,0,0,1,0,0,1,0,0,0,meadow,meadow,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5.15722,50.84475,Molenbeek,Runkelen,436500,2013,0.76,2012,6,1,3no,10,30,0,630,8.3,70.06,67.37,72.18,69.87,0.635,0.646,0.648,0.648,51,975,natural,steep,1,1,1,0,1,0,0,0,1,0,0,meadow,meadow,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,5.33659,50.83853,Herk,Wellen,448000,2016,1.6,2014,7,1,3no,12,0,0,720,9.1,85.99,93.91,96.05,91.98333333,0.772,0.757,0.748,0.748,35,1037,artificial,steep,0,0,0,0,0,1,1,0,0,0,0,built_up_area,meadow,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,5.40478,50.8053,Mombeek,Jesseren,451240,2015,1.63,2014,6,1,3no,13,30,0,810,9,103.6,113.9,117.4,111.6333333,0.563,0.638,0.655,0.6465,31,833,natural,steep,1,1,1,0,0,0,0,0,1,0,0,meadow,meadow,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,5.23038,50.92321,Herk,Stevoort,447000,2008,1.31,2006,5,1,3no,15,0,0,900,9.3,85.1,93.29,81.69,86.69333333,0.602,0.671,0.671,0.671,30,1021,natural,steep,1,1,0,0,1,0,0,0,1,0,0,meadow,meadow,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,4.48686,50.76785,Ijse,Hoeilaart,485000,2016,0.97,2014,8,1,4no,10,30,0,630,10.1,205.1,200.3,211.1,205.5,0.803,0.744,0.721,0.7325,32,818,natural,steep,1,1,1,1,1,1,1,0,0,0,0,wood,meadow,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,100,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
30,5.04819,51.01071,Kleinebeek,Molenstede,413460,2016,3.93,2015,7,1,8no,13,30,0,810,7.8,149.9,149.6,153.5,151,2.816,2.613,2.698,2.698,11,421,natural,steep,1,1,0,0,0,0,0,1,1,0,0,wood,meadow,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,100,2,7,0,6,7,3,0,0,23,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
31,4.72126,50.96343,Winge,Rotselaar,406000,2016,2.46,2012,6,1,9no,11,45,0,705,7.1,186.4,172.2,160.9,173.1666667,1.469,1.466,1.511,1.511,14,556,natural,steep,0,1,1,0,0,1,1,0,1,0,0,wood,wood,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,100,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
32,4.73944,50.85979,Molenbeek,Korbeek-Lo,482000,2016,0.67,2008,6,1,9no,13,45,0,825,7.4,158.4,150.7,150.4,153.1666667,0.974,0.859,0.732,0.7955,45,733,natural,steep,1,1,1,1,1,1,0,0,0,0,1,meadow,meadow,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,2,2,1,0,0,0,0,0,0,0,0
33,4.55786,50.8331,Voer,Vossem,479500,2016,1.88,2011,7,1,10no,12,30,0,750,8.8,118.9,118.6,116.7,118.0666667,1.118,1.061,0.983,1.022,24,543,natural,flat,1,0,0,0,0,0,0,1,0,0,1,wood,wood,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,50,39,0,0,0,0,0,0,42,0,0,3,0,0,0,0,0,0,0,0,14,7,2,1,0,0,0,0,0,0,0,0,0
34,4.59292,50.79012,Ijse,Huldenberg,484300,2016,0.61,2014,9,1,10no,14,0,0,840,8.8,193.4,201.7,207.8,200.9666667,0.902,0.972,0.939,0.9555,35,718,natural,steep,0,0,1,1,0,1,0,0,0,0,0,wood,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,2,1,0,0,0,0,0,0,0,0,0,0
35,4.88174,50.8454,Velpe,Kerkom,426000,2016,0.65,2013,8,1,11no,10,30,0,630,7.7,201.5,190.1,212.6,201.4,1.214,1.129,1.098,1.1135,26,746,natural,steep,1,0,1,1,1,1,0,1,1,0,0,meadow,meadow,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,100,3,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
36,4.92642,50.80094,Mene,Tienen,442500,2013,1.05,2012,7,1,11no,11,30,0,690,7.2,167.6,169.1,180.5,172.4,1.022,0.977,1.032,1.0045,23,853,natural,steep,1,1,0,1,0,0,1,0,0,0,0.5,trees,trees,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,46,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,3,2,1,0,0,1,1,0,0,0,0
37,5.00734,50.77688,Kleine_Gete,Ezemaal,433000,2016,1.23,2010,5,0,14no,10,30,0,630,7.9,81.89,80.37,78.21,80.15666667,1.076,0.934,0.829,0.8815,34,916,artificial,steep,1,1,0,1,1,1,1,0,0,0,1,meadow,meadow,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,100,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,4.68186,50.86346,waterloop,Heverlee,483390,2010,3.52,2010,7,1,14no,13,30,0,810,7.6,176.7,166.5,174.2,172.4666667,1.425,1.405,1.388,1.3965,20,885,natural,steep,1,0,0,0,0,0,0,1,0,0,1,meadow,meadow,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,50,53,39,1,15,25,0,0,30,14,0,0,0,0,0,0,0,0,0,20,18,3,5,1,2,0,0,0,0,0,0,0,0
39,4.63919,50.96288,Leibeek,Wespelaar,388600,2015,1.51,2009,4,1,15no,10,30,0,630,8.5,285.9,251.9,247.5,261.7666667,1.147,1.154,1.12,1.137,22,1020,natural,steep,1,1,0,0,0,0,0,1,0,0,0,field,built_up_area,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,33,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,5,0,0,0,1,0,0,1,0,0,0,0
40,4.5746,50.95853,Weisetterbeek,Kampenhout,385600,2016,3.85,2014,6,1,15no,12,0,0,720,8.8,164.1,162,160.4,162.1666667,1.398,1.379,1.347,1.363,23,627,natural,steep,1,0,1,0,0,0,0,1,0,0,0.5,wood,wood,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0
41,4.56743,50.9541,waterloop,Kampenhout,382800,2016,1.09,2014,8,1,15no,13,0,0,780,8.6,83.06,79.9,78.23,80.39666667,0.713,0.696,0.654,0.675,58,736,natural,steep,1,1,0,1,1,1,0,0,0,0,1,trees,meadow,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,50,34,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,5,2,0,0,0,0,0,0,0,0,0,0
42,4.58404,50.92532,waterloop,Kampenhout,383500,2012,1.24,2012,7,1,15no,14,0,0,840,9.9,89.09,95.1,96.84,93.67666667,0.647,0.621,0.663,0.663,43,801,natural,steep,1,1,0,0,0,1,0,1,0,0,0.5,field,built_up_area,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,100,55,0,0,16,6,0,4,0,0,0,0,0,0,0,0,0,0,0,16,24,6,3,0,0,0,0,0,0,0,0,0,1
