Easting,Northing,Comp.Intensity,ShootBio,RootBio,SpRich,SoilMoist,LightInt,Topog.Pos,TotalN
0,97.411,0.1674,5.5154,7.177,3.6056,0.1937,0.8011,0.665,0.4445
0.629,93.141,0.2129,5.6479,7.3177,3.7417,0.1683,1.0993,0.6639,0.3363
1.926,98.066,-1.6308,5.6832,7.1552,4,0.1683,0.7647,0.6571,0.4115
7.95,93.452,-0.2106,5.2709,6.8224,4,0.1531,0.7099,0.6547,0.3469
9.865,96.65,0.4615,5.8499,6.9655,3.3166,0.1708,1.0356,0.6383,0.5469
11.181,93.4,-0.921,5.5235,6.9566,3.3166,0.1607,0.9197,0.6774,0.4334
11.303,85.456,-0.392,5.4894,5.213,3.873,0.1759,0.7744,0.6378,0.3152
15.79,91.76,-0.5109,5.8853,7.0867,4,0.1658,1.0251,0.6312,0.5469
15.922,91.526,-0.1873,5.6699,7.4974,4.3589,0.1632,0.9682,0.6536,0.5469
15.959,96.176,-1.6621,5.9932,7.0301,4.1231,0.1607,1.1343,0.6402,0.4893
16.473,47.087,-0.4002,5.1773,7.3506,4.2426,0.148,0.45,0.6747,0.4556
16.536,51.826,0.2102,5.4004,6.8855,4,0.181,0.4644,0.7026,0.4668
16.726,88.975,0.0622,5.4192,6.4621,4.1231,0.1835,1.053,0.6521,0.5352
16.929,130.244,-0.2968,5.3904,7.1949,3,0.1988,0.7951,0.666,0.5236
17.243,83.253,-1.7333,5.6774,5.5567,3.6056,0.209,0.8573,0.6617,0.5469
17.403,89.829,-0.6729,5.6974,7.009,4.3589,0.1886,0.5508,0.6506,0.6065
18.029,86.576,-0.2806,5.803,5.5567,3.7417,0.2269,0.6716,0.6571,0.5469
18.482,57.902,-0.5813,5.3945,7.1216,3,0.1784,0.4351,0.6743,0.4225
18.506,81.528,-0.6822,5.3254,6.7643,3.873,0.2269,0.8384,0.6421,0.5007
20.097,51.699,-0.4826,4.7613,7.0507,3.7417,0.2014,0.3084,0.7072,0.4115
20.858,34.535,-0.6823,5.6437,7.1523,3.873,0.1632,0.86,0.7023,0.5704
21.463,92.933,0.2146,5.8908,7.2532,3.4641,0.2372,0.7959,0.6265,1.3705
21.827,131.382,0.0174,6.0234,6.9385,3.1623,0.1683,1.103,0.6575,0.4556
22.489,91.736,-0.6733,5.6326,6.7534,3.7417,0.2578,0.9843,0.6467,0.5352
23.012,129.685,-0.0167,5.6472,7.1178,3.4641,0.1556,0.8303,0.6547,0.2942
23.43,122.771,-0.6365,5.7918,7.0132,3.3166,0.2141,1.1498,0.6547,0.4006
25.014,35.569,-0.1192,5.633,7.0433,3.7417,0.1759,0.8315,0.6791,0.4668
27.769,143.526,-0.5006,5.9493,6.9611,3.6056,0.1861,0.7208,0.6505,0.5469
27.804,119.852,-0.5236,5.8236,7.1698,4,0.2116,0.8288,0.6581,0.3257
29.136,46.595,-0.499,5.5247,7.302,4.2426,0.2346,1.0307,0.6818,0.5236
29.323,92.785,-0.4453,5.3162,6.6246,4.1231,0.2321,0.5837,0.6604,0.7615
29.999,131.51,-1.5824,5.3822,7.1878,3.6056,0.2193,0.6993,0.683,0.3257
30.226,99.971,0.6762,5.9932,7.3784,4,0.181,0.8903,0.6377,0.7342
31.044,99.558,0.6594,6.1833,7.6936,3.873,0.2116,0.763,0.6663,0.5586
31.301,96.247,-0.2915,5.1716,7.5729,4,0.2167,0.5126,0.6774,0.3898
32.257,22.063,1.3601,5.6781,6.7312,4.1231,0.2039,0.893,0.6749,0.4556
32.519,26.257,-0.307,5.0505,6.9831,3.1623,0.1759,0.4487,0.7211,0.3469
33.156,46.896,-4.1908,5.2617,6.4839,3.7417,0.2218,0.9074,0.6603,0.4334
33.816,17.525,-0.649,5.6265,7.2445,3.6056,0.1759,0.5192,0.6486,0.4668
35.522,38.972,-0.3073,5.4085,7.1291,3.6056,0.1937,0.7343,0.6956,0.3257
36.258,142.543,-0.2854,5.4381,6.8917,3.6056,0.1835,0.8094,0.6389,0.3257
36.537,21.834,-0.425,5.3725,6.7943,3.873,0.1379,0.7506,0.7087,0.478
36.588,47.128,-0.9888,5.0389,6.5993,3.4641,0.1886,0.78,0.6687,0.4556
36.591,28.603,-1.3001,5.2533,7.1004,3.3166,0.1658,0.7521,0.6854,0.4445
36.706,49.195,-0.432,5.2796,7.4327,4.1231,0.2269,0.4449,0.6581,0.5352
37.962,33.635,-1.9534,5.2144,6.687,3.7417,0.209,0.7083,0.71,0.4334
39.363,36.253,-0.1919,5.1168,6.8121,3.6056,0.2116,0.6084,0.7004,0.3576
39.455,26.325,-0.6819,5.3808,7.0217,3.1623,0.181,0.4005,0.7443,0.4225
40.455,43.799,-1.4386,5.2988,6.7312,4.1231,0.2682,0.7756,0.6648,0.379
40.787,24.937,2.2041,5.4935,6.4694,3.7417,0.1658,0.8531,0.7043,0.6687
42.523,135.027,-0.5302,5.3868,6.8017,3.4641,0.2218,0.7502,0.6619,0.5121
43.103,27.447,0.5236,5.2068,6.5171,4,0.1531,0.6346,0.7128,0.4006
43.132,40.953,-1.8568,4.9185,6.9107,4.1231,0.2838,0.4329,0.6781,0.379
60.409,143.986,-0.6456,5.718,6.4169,3,0.2167,0.5773,0.6606,0.4893
85.918,22.575,1.2388,5.515,6.2856,3.7417,0.1861,0.8489,0.7039,0.6187
87.827,20.073,-0.1473,5.6893,6.7698,4,0.1861,0.6956,0.6561,0.2942
88.996,5.705,0.169,5.893,7.1329,4.5826,0.2116,0.8261,0.6986,0.7615
89.368,10.374,-0.3987,5.4697,6.943,4.1231,0.2218,0.7735,0.6656,0.6561
90.026,11.256,0.5452,5.3504,6.7027,4.2426,0.2424,0.7538,0.6633,0.5704
94.167,10.5,-0.5474,5.7014,6.9107,4.2426,0.2346,0.8724,0.7013,0.6561
95.088,19.77,-0.3336,5.349,6.303,4.2426,0.1988,0.8626,0.6715,0.2942
97.008,16.908,5.4839,5.2857,6.6852,3.873,0.2039,0.8204,0.6954,0.6065
97.209,15.995,-0.772,5.5767,6.7159,4,0.1506,0.784,0.6898,0.6187
99.78,27.538,-0.0871,5.757,7.1284,4,0.1886,0.6891,0.7006,0.5469
100.076,35.859,-0.4605,4.9925,6.3369,3.3166,0.2269,0.6352,0.7022,0.5704
101.815,76.91,-0.4939,5.7621,7.1178,3.4641,0.2372,0.9716,0.6544,0.4334
101.999,33.853,-0.9408,5.6809,6.7199,3.873,0.1988,0.5975,0.6981,0.6816
103.038,35.045,-0.195,5.6423,5.8535,3.6056,0.181,0.9009,0.7151,0.5704
103.479,80.254,-1.1501,5.7897,6.4839,3.873,0.1886,1.1393,0.6592,0.6311
103.9,34.975,-0.0693,5.2111,6.2499,4,0.1658,0.5619,0.712,0.4668
104.805,43.357,-0.455,5.6493,6.8477,3.4641,0.1658,0.901,0.6806,0.5236
106.535,38.74,-0.3255,5.7875,7.0005,3.873,0.1759,0.8426,0.6582,0.4334
106.943,46.728,-0.302,6.154,6.9385,4.3589,0.1835,1.0911,0.6511,0.5007
107.652,79.504,2.3355,5.5962,6.7199,3.7417,0.1835,0.9621,0.6559,0.4334
107.684,78.682,-0.5799,5.6695,6.6614,3.4641,0.1963,1.0104,0.6547,0.5704
107.774,51.366,-1.8183,5.6798,6.5261,4.1231,0.1835,0.5279,0.6938,0.5121
108.977,34.485,-0.6281,5.8242,6.8173,3.3166,0.1708,0.6977,0.6764,0.6065
109.426,83.345,-0.3622,5.5514,6.7589,4.2426,0.2141,0.9049,0.6575,0.478
109.608,52.609,-0.1073,5.7278,5.9061,3.873,0.2116,0.612,0.6825,0.3152
110.158,82.527,-0.6191,5.3827,7.1441,4.1231,0.2424,0.7555,0.6572,0.6816
110.963,51.032,-0.5839,5.3008,6.56,4.1231,0.2039,0.6549,0.6947,0.4115
111.367,81.389,0.058,5.8132,6.7643,3.873,0.1835,1.1096,0.6596,0.5944
112.18,88.477,-0.7624,5.92,7.0217,3.7417,0.1632,1.0215,0.6676,0.6561
112.462,83.581,-2.4813,5.895,6.9699,3.4641,0.1734,0.899,0.6592,0.7342
113.961,50.703,0.8421,5.782,6.7424,4.2426,0.181,0.8308,0.7056,0.4668
116.889,89.005,0.2728,5.421,6.6554,3.7417,0.2295,0.8743,0.6674,0.4115
117.634,90.914,-1.5365,5.7893,7.0047,3.6056,0.1886,1.1013,0.6603,0.8788
120.666,98.379,-0.3902,5.8036,6.7752,3.873,0.2295,0.9327,0.6639,0.478
121.664,97.664,-3.2769,5.5118,6.7964,3.6056,0.2065,1.0923,0.659,0.5824
126.69,91.693,-0.214,5.7236,6.7368,3.873,0.2218,0.9627,0.6633,0.4445
128.462,91.796,0.1491,5.4315,6.5398,4.4721,0.2116,0.9146,0.6575,0.4334
129.219,90.965,0.073,5.3697,6.6183,4.2426,0.2372,0.5874,0.6648,0.5121
129.44,90.102,0.2834,5.5354,7.3635,3.7417,0.1963,0.9172,0.6617,0.5824
130.368,87.415,-1.246,5.0857,6.2679,3.3166,0.2116,0.8929,0.6599,0.5352
131.351,96.403,-2.8073,5.3351,6.7199,4,0.2269,0.8848,0.6599,0.5121
131.412,92.479,-1.4967,5.3674,6.533,3.4641,0.2116,0.7895,0.6704,0.5469
131.536,88.132,0.2266,5.8467,6.5052,3.7417,0.1886,0.9638,0.653,0.5236
131.984,160.98,-0.8165,5.687,6.6057,4,0.2604,1.2032,0.6573,0.6065
132.076,159.351,1.1032,5.9229,6.8577,4,0.2269,0.6933,0.6664,0.7342
132.1,162.854,-0.5435,5.8263,7.1216,4,0.2424,0.6282,0.6575,0.7208
132.747,90.63,-0.0162,5.3471,6.3697,3.6056,0.2604,0.9409,0.6473,0.5007
133.152,92.894,-0.4252,5.7104,6.5398,4.2426,0.2039,0.9483,0.6603,0.5007
133.732,87.631,0.0363,6.1048,6.8326,3.873,0.1861,1.0516,0.6711,0.5824
134.233,83.931,0.1634,5.6539,6.7534,3.7417,0.2193,0.9269,0.6626,0.5586
135.787,85.91,-1.326,5.2786,7.3363,4.2426,0.2346,0.8397,0.6667,0.478
136.704,173.62,0.0508,5.7884,7.1024,3.7417,0.2218,0.9887,0.6644,0.5824
136.724,165.58,0.4668,5.4664,6.1033,3.3166,0.2218,0.5994,0.6594,0.5704
136.835,174.64,-0.2506,5.7411,6.9831,3.7417,0.2578,0.5161,0.6642,0.8038
138.432,158.183,-0.1233,5.4298,6.943,3.3166,0.2942,0.7395,0.6605,0.6065
138.468,170.936,-0.5039,5.8072,7.1441,3.873,0.1988,1.1817,0.6603,0.6065
139.144,164.116,-0.306,5.9715,6.6793,3.7417,0.2167,0.6552,0.6632,0.4668
139.818,178.361,-1.2053,6.0157,7.5027,3,0.2014,1.1926,0.6636,0.5007
140.468,170.017,-0.3311,5.5759,6.9961,3.3166,0.1988,1.1601,0.6818,0.5586
142.055,173.836,-0.3687,5.7436,7.3871,3.4641,0.2527,1.0128,0.6761,0.6561
142.246,170.856,0.0025,5.491,6.8069,3.7417,0.2218,1.0282,0.6663,0.4556
142.752,168.998,-0.5004,5.2933,6.7912,4.3589,0.2424,0.7403,0.6547,0.4445
143.7,182.54,-2.3007,5.7608,7.393,3.3166,0.2475,0.9409,0.6881,0.5704
144.688,172.626,-1.013,5.665,7.2193,3.6056,0.2065,0.9328,0.678,0.5236
146.071,171.963,-0.4237,5.9322,7.2431,3.1623,0.1912,1.1557,0.6722,0.4893
146.247,202.027,0.7483,5.8354,6.5864,3.6056,0.2553,1.3777,0.6531,0.5352
146.808,171.02,-0.3416,5.9597,7.1842,4.2426,0.1861,0.7096,0.6834,0.5007
149.672,161.314,-1.7397,5.9682,6.7368,4,0.2116,1.0523,0.676,0.4006
150.642,161.908,-0.414,5.6931,6.92,4.2426,0.2065,0.8802,0.6543,0.4893
151.503,167.812,-0.519,5.7018,6.4694,4.2426,0.1835,1.0056,0.6952,0.6561
152.686,169.348,-0.2915,5.4972,7.3515,3.873,0.1886,0.4775,0.6785,0.7342
154.983,165.249,-0.8651,5.8556,6.5466,4,0.181,0.512,0.6589,0.5352
177.464,101.903,-0.6602,5.8427,7.2158,4.1231,0.2065,0.9049,0.6583,0.6065
178.428,100.604,-0.4213,5.9285,6.8869,4.3589,0.2116,0.5678,0.6663,0.4556
178.786,100.04,0.1632,6.0808,6.9699,3.7417,0.1912,0.7937,0.6563,0.6687
181.617,106.065,-0.0986,6.0992,6.9875,3.7417,0.1759,0.5995,0.6547,0.5121
184.212,103.774,-1.4746,6.3507,7.6785,4.3589,0.1886,0.8172,0.6722,0.7615
187.462,68.805,-0.1937,5.6265,7.3987,3.3166,0.1988,0.4397,0.6571,0.3469
189.147,72.566,5.8647,5.4161,6.8675,3.4641,0.181,0.5713,0.6609,0.4115
196.447,62.939,-0.4486,6.219,7.1589,3.1623,0.1329,0.8634,0.6606,0.5944
203.731,71.39,-0.5793,5.6974,7.0132,3.6056,0.1607,0.9991,0.6773,0.4893
204.607,66.719,0.0228,5.9922,6.637,3.873,0.1861,0.5876,0.6602,0.3898
207.072,68.026,-0.6609,5.6981,7.3121,4.4721,0.2116,0.7004,0.6662,0.4334
210.331,73.684,-0.7506,5.6098,6.7199,4,0.209,1.046,0.6559,0.4334
217.953,51.136,0.2447,5.6142,7.1625,4,0.2014,0.9753,0.6547,0.4225
220.672,38.268,-0.1162,5.5691,6.6969,3.3166,0.1861,0.698,0.6721,0.5236
222.89,46.435,-0.7151,5.6269,6.3777,4,0.1886,0.9233,0.6547,0.4225
223.945,45.678,-0.1174,5.3762,6.9875,3.873,0.2193,0.5067,0.6768,0.4445
225.454,42.267,1.1809,5.6215,6.6333,4.2426,0.181,0.7978,0.6658,0.4225
226.329,37.273,-0.236,5.8438,6.8457,3.6056,0.1937,0.8258,0.6719,0.2838
227.582,31.381,0.4037,5.4988,6.8522,3.6056,0.2167,0.8431,0.6535,0.4006
228.085,19.641,0.1686,6.0285,5.263,3.7417,0.1683,0.9731,0.7094,0.2116
230.365,41.494,-1.0157,5.7278,6.2856,3.873,0.2864,0.639,0.6685,0.4445
230.391,28.508,-0.1746,5.5138,6.4989,4.1231,0.2244,0.5998,0.65,0.4006
231.807,37.954,-0.4252,5.4549,6.8577,3.873,0.2295,0.6093,0.6956,0.4006
232.716,37.618,-0.2488,5.5362,6.7142,4.2426,0.2244,0.8542,0.6956,0.4445
240.42,0,0.3437,4.73,6.1744,3,0.2116,0.6057,0.7039,0.3683
240.705,16.93,-0.176,5.5373,6.9293,3.6056,0.1912,0.5259,0.7291,0.4225
243.338,20.426,0.4571,4.9373,7.0507,3.3166,0.2193,0.3822,0.7072,0.4115
244.499,14.097,-2.0275,4.9898,6.1033,4,0.2167,0.2133,0.7355,0.4006
245.116,22.477,-0.4432,5.3822,6.9385,3.4641,0.1912,0.6915,0.7317,0.3047
247.627,24.084,1.0909,5.2476,6.1344,3.7417,0.2141,0.46,0.7061,0.379
284.397,41.299,-0.4898,5.751,6.8183,3.3166,0.1683,0.9583,0.649,0.4006
290.92,45.197,3.7054,5.3433,6.8869,4.1231,0.1886,0.8241,0.6713,0.4668
294.841,46.201,-0.192,5.7206,7.1734,3.7417,0.1607,0.9065,0.6682,0.2942
297.657,27.074,-1.0919,5.7028,6.8749,4.3589,0.1937,0.6886,0.6663,0.4445
299.793,52.383,-1.9634,5.9646,7.4355,3.7417,0.209,0.9927,0.6565,0.4668
301.806,193.447,-0.7924,5.6856,7.2598,4.1231,0.1937,1.0911,0.6827,0.4556
302.825,54.493,0.1884,5.4359,6.6674,3.7417,0.1861,0.5329,0.6931,0.5007
303.896,57.701,-0.6151,5.6958,7.768,3.873,0.1708,0.9936,0.6717,0.4334
306.756,196.336,0.2734,5.6567,7.2124,3.873,0.1912,0.915,0.6982,0.478
307.388,193.189,-0.0602,5.535,7.1254,4.1231,0.2167,0.8007,0.684,0.379
310.175,198.994,0.8508,5.1422,6.7752,3.873,0.2116,0.964,0.6364,0.5469
310.349,49.27,-0.2118,5.9299,6.943,3.6056,0.2167,0.8049,0.6623,0.7478
310.578,57.607,-0.0293,5.7668,7.324,3.4641,0.1963,1.0772,0.6664,0.5944
311.86,192.656,-3.2804,5.5831,6.8917,4.1231,0.181,1.2512,0.678,0.3469
312.686,204.619,-0.8767,5.8284,6.6734,4.4721,0.2218,0.9197,0.6397,0.478
312.827,211.098,-0.1469,5.5102,7.0946,4,0.2039,0.7051,0.6332,0.5007
312.898,188.779,-1.8791,4.906,6.92,4.1231,0.2553,0.6237,0.6551,0.4115
313.391,211.371,0.2154,5.6316,7.286,3.6056,0.2218,0.8996,0.6461,0.5586
313.754,187.605,-0.5022,5.4756,6.4246,4.3589,0.2218,0.8366,0.6603,0.4334
315.923,196.788,-0.7878,6.082,7.2296,3.3166,0.1708,1.2743,0.6665,0.3047
316.759,56.921,-0.3861,5.8024,7.1625,3,0.1937,1.3009,0.6582,0.4115
316.814,203.668,-0.5708,5.4099,6.6911,3.873,0.1784,0.9476,0.6532,0.3363
316.95,199.282,-0.3229,5.9035,7.1441,4.4721,0.2039,0.9522,0.6315,0.478
318.561,193.452,-0.4794,5.1711,7.0788,3.3166,0.2014,0.7037,0.6406,0.3898
318.94,190.894,1.8062,5.546,6.8626,4.1231,0.2372,0.9845,0.6457,0.5352
325.622,183.109,-0.5154,5.229,6.1241,3.3166,0.2167,0.6417,0.6563,0.5944
335.837,52.503,-0.6873,5.8528,7.1139,4.1231,0.209,0.9755,0.6624,0.5121
341.489,44.251,-0.4686,5.4685,7.2956,3,0.1835,0.8756,0.6535,0.478
342.892,57.135,0.0299,5.8653,7.2565,4.3589,0.2141,1.2419,0.6095,0.4893
344.406,89.991,-0.1698,5.8721,7.7274,3.873,0.181,1.047,0.6532,0.6065
346.559,53.78,0.3483,5.4446,7.413,4,0.181,1.1408,0.547,0.4445
346.976,93.954,-1.1629,5.9341,7.9159,3.873,0.1759,1.1082,0.6547,0.4556
347.597,106.813,-0.4146,5.5029,8.0861,3.1623,0.2218,1.2034,0.6442,0.7342
348.616,41.356,-0.6043,5.6258,6.7964,3.873,0.1607,0.8636,0.6195,0.3683
349.718,89.752,0.0677,5.9078,7.233,3.6056,0.1582,1.1038,0.6723,0.263
357.055,99.844,0.4732,5.8377,7.2262,3.3166,0.148,1.0782,0.6611,0.6065
